,cnLibCat,ecoCat
0,A849,社会人文科学研究与试验发展
1,"[D23, A84]",社会人文科学研究与试验发展
2,A81,社会人文科学研究与试验发展
3,A84,社会人文科学研究与试验发展
4,"[F124.7, F323.8, A849]",社会人文科学研究与试验发展
5,A849.1,社会人文科学研究与试验发展
6,A1-43,"[社会人文科学研究与试验发展, 出版业]"
7,A811,社会人文科学研究与试验发展
8,"[A8, G641]",基础研究
9,A849,基础研究
10,B842.3,社会人文科学研究与试验发展
11,B842.1,社会人文科学研究与试验发展
12,B844.1,社会人文科学研究与试验发展
13,B844.1,社会人文科学研究与试验发展
14,B845.67,社会人文科学研究与试验发展
15,B844.2,社会人文科学研究与试验发展
16,B842.1,社会人文科学研究与试验发展
17,B846,社会人文科学研究与试验发展
18,"[TP319, B849]",公共软件服务
19,B844.3,社会人文科学研究与试验发展
20,B842.1,医学研究与试验发展
21,B844,医学研究与试验发展
22,B815.6,社会人文科学研究与试验发展
23,B845.67,社会人文科学研究与试验发展
24,B844.1,基础研究
25,B844,咨询与调查
26,"[R395.6, B846, G641]","[医学研究与试验发展, 社会人文科学研究与试验发展]"
27,B845.67,医学研究与试验发展
28,B842.1,社会人文科学研究与试验发展
29,B845.67,医学研究与试验发展
30,"[B849, R197.61, R395.6]","[门诊部医疗活动, 医学研究与试验发展]"
31,B842.1,自然科学研究与试验发展
32,B845.67,"[社会人文科学研究与试验发展, 其他卫生活动]"
33,B844.1,社会人文科学研究与试验发展
34,"[B844.3, R395.6]",其他卫生活动
35,B844.2,"[医学研究与试验发展, 其他卫生活动]"
36,B845,社会人文科学研究与试验发展
37,B842.2,工程和技术研究与试验发展
38,B844.2,"[社会人文科学研究与试验发展, 医学研究与试验发展]"
39,"[B82-052, C912.68]",社会人文科学研究与试验发展
40,B811,社会人文科学研究与试验发展
41,"[B842.3, O421]",自然科学研究与试验发展
42,"[B822.9, R192]",社会人文科学研究与试验发展
43,"[R224.1, B221]",医学研究与试验发展
44,B222.2,软科学
45,B844.4,基础研究
46,B844.2,"[社会人文科学研究与试验发展, 医学研究与试验发展]"
47,B844.2,医学研究与试验发展
48,B222,社会人文科学研究与试验发展
49,B82-058,基础研究
50,B844.2,基础研究
51,"[R749.3, B842.3]",医学研究与试验发展
52,B849,基础研究
53,"[B82-052, B823]",社会人文科学研究与试验发展
54,B80,社会人文科学研究与试验发展
55,"[B842, R395.6]",高等教育
56,B844.2,"[社会人文科学研究与试验发展, 医学研究与试验发展]"
57,"[B848, B841]",社会人文科学研究与试验发展
58,"[B82-061, B920]",社会人文科学研究与试验发展
59,"[B844.3, G444, R395.6]",高等教育
60,"[B844.2, B842.1]",医学研究与试验发展
61,B849,基础研究
62,"[B844.2, G448]",高等教育
63,B920,社会人文科学研究与试验发展
64,B849,基础研究
65,B844.2,基础研究
66,B841,基础研究
67,B819,工程和技术研究与试验发展
68,B841,基础研究
69,B845.6,医学研究与试验发展
70,B849,基础研究
71,"[B842.6, B844.2]","[社会人文科学研究与试验发展, 医学研究与试验发展]"
72,B844.2,基础研究
73,B849,基础研究
74,B841,基础研究
75,B844.3,社会人文科学研究与试验发展
76,B841.7,基础研究
77,B844,"[医学研究与试验发展, 疾病预防控制及防疫活动]"
78,B222,基础研究
79,B849,基础研究
80,B844.2,医学研究与试验发展
81,"[B842.6, TP392]","[社会人文科学研究与试验发展, 公共软件服务]"
82,B841,基础研究
83,B822.9,咨询与调查
84,B84,基础研究
85,B844.2,基础研究
86,B844.2,基础研究
87,B842,医学研究与试验发展
88,B848.5,医学研究与试验发展
89,B842.1,医学研究与试验发展
90,"[B812.21, TP316]","[自然科学研究与试验发展, 工程和技术研究与试验发展]"
91,"[P64, B80]","[地质勘查技术服务, 社会人文科学研究与试验发展]"
92,B017,基础研究
93,B842.1,医学研究与试验发展
94,B844.2,医学研究与试验发展
95,B844.1,医学研究与试验发展
96,B844.2,基础研究
97,B844.2,基础研究
98,"[D669.5, B844.2]",社会人文科学研究与试验发展
99,B844.1,医学研究与试验发展
100,B842.1,医学研究与试验发展
101,B848.5,医学研究与试验发展
102,B842.3,社会人文科学研究与试验发展
103,B844.2,社会人文科学研究与试验发展
104,"[B849, C91]",社会人文科学研究与试验发展
105,B844.1,医学研究与试验发展
106,B842.3,医学研究与试验发展
107,B844.1,医学研究与试验发展
108,B844.1,"[医学研究与试验发展, 社会人文科学研究与试验发展]"
109,B844.1,医学研究与试验发展
110,B841.7,医学研究与试验发展
111,B844.1,医学研究与试验发展
112,B844.2,基础研究
113,B844.1,医学研究与试验发展
114,B812.21,"[自然科学研究与试验发展, 工程和技术研究与试验发展]"
115,"[G449.6, B844.2]",社会人文科学研究与试验发展
116,B841.7,医学研究与试验发展
117,B844.1,医学研究与试验发展
118,B846,医学研究与试验发展
119,"[B82-052, B82-053]",社会人文科学研究与试验发展
120,B84,医学研究与试验发展
121,B842.3,医学研究与试验发展
122,"[B841.7, R192]",社会人文科学研究与试验发展
123,B849,基础研究
