,companyName,addr,postCode,tel,fax,products,foundTime,workerNum,district
0,江苏苏芽食品有限公司,：高庄,：211134,：025-84144528,：025-84140998,"：黄豆芽生产,绿豆芽生产",：2005年05月,：70,江苏省南京市江宁区
1,江苏新众亚货架制造有限公司,：谷里工业集中区,：211164,：025-86130377,：025-86134727,"：货架的生产仓储设备及备件的设计销售安装,售后服务,自管和代理各类商品和技术的进出口",：2005年06月,：108,江苏省南京市江宁区
2,江苏云源丝绸有限公司,：江宁区湖熟街道工业集中区,：211100,：025-51195667,：025-52281275,：家纺产品,：2002年10月,：68,江苏省南京市江宁区
3,金佰利（南京）个人卫生用品有限公司,：吉印大道3199号,：211100,：025-52722999,：025-52721122,：卫生巾生产,：1997年08月,：295,江苏省南京市江宁区
4,金龙国际（南京）骑具有限公司,：江苏省南京市江宁区秣陵街道殷巷社区金龙路6-8号,：211102,：025-52722962,：025-52722152,"：骑具用品,子衣",：1994年01月,：75,江苏省南京市江宁区
5,考诺尔（南京）文具用品有限公司,：清水亭路14号,：211102,：025-52721935,：025-52721935,：办公文具生产,：2004年02月,：52,江苏省南京市江宁区
6,莱华服装（南京）有限公司,：南京市江宁区禄口街道华商路,：211113,：025-52876285,：025-52876283,"：劳保用手套加工,袜子生产",：1998年07月,：57,江苏省南京市江宁区
7,联纬（南京）塑料有限公司,：江苏省南京市江宁区秣陵街道殷巷社区百家湖科技产业园,：211102,：025-66612727,：025-66612729,：塑料包装制品生产,：2006年02月,：29,江苏省南京市江宁区
8,南京爱维斯金属制品有限公司,：西旺,：211111,：025-52758891,：025-52421059,：生产货架,：2001年09月,：79,江苏省南京市江宁区
9,南京安居门窗有限公司,：汤山,：211131,：025-66612236,：025-57926268,：金属门窗生产,：1999年07月,：32,江苏省南京市江宁区
10,南京白象食品有限公司,：双阜西路1号,：211134,：025-84143633,：025-84140988,：方便面制造,：2003年11月,：2100,江苏省南京市江宁区
11,南京宝丰矿业有限公司,：孟墓社区,：211134,：025-84140532,：025-84143580,：石灰石,：2007年08月,：30,江苏省南京市江宁区
12,南京宝华石材有限公司,：陆郎荷花村,：211163,：025-86149199,：025-86149198,：建筑石料加工,：2002年02月,：30,江苏省南京市江宁区
13,南京博程数控齿轮设备有限责任公司,：小庄工业园4号,：211161,：025-86650299,：025-86650299,：数控机床及配件加工,：2000年12月,：25,江苏省南京市江宁区
14,南京博盟科技有限公司,：科苑路128号,：211100,：025-52163344,：025-52163344,：汽车零部件及配件加工,：2002年04月,：37,江苏省南京市江宁区
15,南京财礼电镀有限公司,：江苏省南京市秣陵街道东旺社区,：211111,：025-52755256,：025-52758405,：电镀处理加工,：2002年02月,：161,江苏省南京市江宁区
16,南京长发猪鬃制品有限公司,：谷里,：211164,：025-2147483647,：025-86130979,：猪鬃制品生产,：2001年09月,：88,江苏省南京市江宁区
17,南京长山化工有限责任公司,：东山街道上坊社区,：211103,：025-52701683,：025-52701686,：炸药制造,：1970年03月,：308,江苏省南京市江宁区
18,南京长征水泥超细粉体有限公司,：淳化街道,：211122,：025-52294770,：025-52293509,：水泥制造,：2000年10月,：18,江苏省南京市江宁区
19,南京楚江玻璃有限公司,：东善桥秣周中路89号,：211153,：025-86612958,：025-86612928,"：中空玻璃,钢化玻璃,夹层玻璃",：2006年05月,：58,江苏省南京市江宁区
20,南京川崎皮革有限责任公司,：江苏省南京市江宁区禄口街道马铺村,：211113,：025-52778738,：025-52778738,：各式男女皮鞋制造,：1998年06月,：200,江苏省南京市江宁区
